SupplierID,SupplierName,ContactName,Email,Phone,City,Country
1,"Griffiths, Cox and Smith","Jane Davies",wrightryan@green.net,"+44(0)20 74960083",Shenzhen,China
2,"Brooks, Kaur and Quinn","Bradley Barker",reedsam@oliver.com,01154960161,Rotterdam,Netherlands
3,Baker-Butler,"Mr Bernard Wilkinson",sferguson@hurst.com,+44(0)1134960341,Cardiff,"United Kingdom"
4,"Taylor Group","Carole Woods-Hargreaves",owen34@cross.com,"(0191) 4960327",Cardiff,"United Kingdom"
5,Dixon-Bennett,"Ricky Lloyd-Duncan",wilsonryan@alexander-collins.org,+449098790537,Shanghai,China
6,Young-Graham,"Holly Davidson",fiona69@evans-turner.com,"+44(0)161 4960710",Shenzhen,China
7,"Gould and Sons","Dr Joel Collins",dwright@smith.co.uk,"(01632) 960184",Leeds,"United Kingdom"
8,"Cook, Harris and Steele","Holly Page",kathleenwalker@burns.com,+44(0)1314960288,Newcastle,"United Kingdom"
9,"Anderson Group","Victoria Murray",shane03@may.com,03069990822,Leeds,"United Kingdom"
10,"Jones, Walton and Pritchard","Dr Kenneth Murray",graemematthews@brooks.com,"(0118) 496 0315",Krakow,Poland
11,"Fox and Sons","Jamie Bailey",wilsonryan@bruce-smith.co.uk,"(0161) 4960382",Leeds,"United Kingdom"
12,"Hudson, Bradshaw and Jones","Dr Dennis Bates",slaterowen@ali-taylor.com,"(029) 2018106",Glasgow,"United Kingdom"
13,"Cook, Taylor and Smith","Sara Patterson",dakhtar@gardiner.info,08081570810,Shenzhen,China
14,"Watkins, Lee and Morgan","Mr Jake Stevenson",zdobson@obrien.biz,"+44118 4960746",Hamburg,Germany
15,"Andrews, Turner and Humphreys","Norman Nash-Doyle",jacksonjoanna@morris.com,(020)74960788,"New York",USA
16,"George PLC","Lucy Rees",NULL,"(020) 74960909",Leeds,"United Kingdom"
17,"Burton PLC","Elliot Saunders",dennis53@byrne-davies.com,"+44(0)151 496 0510","New York",USA
18,Johnson-Moore,"Deborah Powell",wayne51@charlton.info,"+44(0)808 157 0849",Bristol,"United Kingdom"
19,"Hill, King and Duffy","Lee Singh",arthurclark@cox.com,"0121 496 0935",Leicester,"United Kingdom"
20,"Holmes LLC","Duncan Smith",greenmary@thomas-shepherd.com,"+4428 9018427",Glasgow,"United Kingdom"
21,"Cole, Moore and Clark","Keith Kaur-Lee",sharonclarke@hargreaves-begum.com,"+44131 4960331",Krakow,Poland
22,Porter-Young,"Ms Elaine Taylor",amyjennings@bennett.co.uk,(0909)8790342,Manchester,"United Kingdom"
23,"Griffiths, Carr and Taylor","Caroline Warren",ystone@wilson.com,"+44141 496 0541",Milan,Italy
24,Parsons-Bond,"Max Fry",clarkelliot@jackson.com,"(0115) 496 0965",Glasgow,"United Kingdom"
25,"Fitzgerald, Williams and Robinson","Lorraine Sutton",conorthomas@winter-bennett.net,"+4429 2018356","Ho Chi Minh City",Vietnam
26,"Wells LLC","Charles Adams",petersclifford@gordon.com,NULL,"New York",USA
27,"Singh, Davies and Poole","Glen Hodgson",rogersrhys@thornton-jenkins.com,+44(0)1514960773,Krakow,Poland
28,"Jones, Hutchinson and Coles","Lydia Cunningham",colin34@forster.com,+44(0)1134960379,Nottingham,"United Kingdom"
29,"Murphy Ltd","Lewis Edwards",phughes@lynch.com,"+44306 9990632",Glasgow,"United Kingdom"
30,"Weston, Parker and Smith","Mr Julian Browne",jking@stephens.net,"0151 4960872",Barcelona,Spain
31,"Taylor, Power and Mitchell","Dr Elliot Jones",henrywilliams@hussain.net,+441144960223,Manchester,"United Kingdom"
32,Faulkner-Cole,"Lynne Miles",nsanderson@mccarthy-moran.com,"(0909) 879 0967",Sheffield,"United Kingdom"
33,"Hewitt LLC","Dr Rhys Powell",hollylloyd@jones-mccarthy.co.uk,(029)2018627,"New York",USA
34,"Robinson PLC","Lynn Wright",shortanne@taylor.com,"+44118 496 0653",Liverpool,"United Kingdom"
35,Mills-Carter,"Miss Anna Smith",jonessheila@watkins.com,"+44(0)28 9018100",Glasgow,"United Kingdom"
